12:58:42 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:26 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:26 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:27 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:27 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:27 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:27 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:27 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:36 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:36 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:37 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:37 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:37 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:37 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:37 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:47 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:01:16 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:01:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:01:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:01:19 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:01:19 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:01:19 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:04:04 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:04:05 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:04:05 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:04:05 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:04:06 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:04:06 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:04:06 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:04:06 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:04:06 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:05:34 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:05:35 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:05:35 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:05:36 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:05:36 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:05:36 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:05:36 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:05:36 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:05:36 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:05:36 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:07:19 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:07:24 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:07:28 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:07:29 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:07:29 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:07:30 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:07:30 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:07:30 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:07:30 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:07:30 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:08:47 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:08:48 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:08:48 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:08:49 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:08:49 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:08:49 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:08:49 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:08:50 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:08:50 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:08:50 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:08:50 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:15:08 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:15:08 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:15:12 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:15:12 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:15:13 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:15:13 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:15:13 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:15:13 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:15:13 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:15:13 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:15:14 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:15:14 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:15:14 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:15:14 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:15:14 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:15:14 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:15:14 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:15:14 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:15:14 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:15:14 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:15:14 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:15:14 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:15:15 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:15:15 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:15:15 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:15:15 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:15:15 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:15:15 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:16:00 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:16:00 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:18:40 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui.html] 
13:18:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui.html] 
13:18:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui.html] 
13:18:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui.html] 
13:18:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui.html] 
13:22:09 - REQUEST method = [GET] , path = [/iot-cloud-platform/v2/api-docs] 
13:22:10 - REQUEST method = [GET] , path = [/iot-cloud-platform/v2/api-docs] 
13:22:10 - REQUEST method = [GET] , path = [/iot-cloud-platform/v2/api-docs] 
13:22:10 - REQUEST method = [GET] , path = [/iot-cloud-platform/v2/api-docs] 
13:23:35 - REQUEST method = [GET] , path = [/iot-cloud-platform/v2/api-docs] 
13:23:35 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:23:42 - REQUEST method = [GET] , path = [/iot-cloud-platform/v3/api-docs] 
13:23:42 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:23:51 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:23:51 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:26:21 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:26:21 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:26:21 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:26:21 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:26:22 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:26:22 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:26:22 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:26:22 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:26:22 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:26:22 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:26:22 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:26:22 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:26:22 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:26:22 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:26:22 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:26:22 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:26:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:26:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:26:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:26:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:26:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:26:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:26:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:26:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:26:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:26:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:26:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:26:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:26:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:26:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:26:24 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:26:24 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:28:12 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui.html] 
13:28:12 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:31:39 - REQUEST method = [GET] , path = [/iot-cloud-platform/v2/api-docs] 
13:31:39 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:33:54 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui.html] 
13:33:54 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:33:58 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:33:58 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:33:59 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:33:59 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:34:05 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:34:05 - REQUEST method = [GET] , path = [/iot-cloud-platform/error] 
13:42:52 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:42:52 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:42:52 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:42:52 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:42:52 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:42:52 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:42:52 - REQUEST method = [GET] , path = [/iot-cloud-platform/v3/api-docs/swagger-config] 
13:42:52 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:42:52 - REQUEST method = [GET] , path = [/iot-cloud-platform/v3/api-docs] 
13:44:13 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:44:13 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:44:13 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:44:13 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:44:13 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:44:13 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:44:14 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:15 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:44:15 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:44:15 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:44:15 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:44:15 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:44:15 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:44:15 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:15 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:16 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:44:16 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:44:16 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:44:16 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:44:16 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:44:16 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:26 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:44:27 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
13:44:39 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:44:39 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:45:12 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:45:13 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:45:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:45:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:45:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:45:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:45:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:45:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:45:27 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:45:27 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:45:27 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:45:27 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:45:27 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:45:27 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:46:32 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui.html] 
13:46:32 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:46:32 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:46:32 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:46:32 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:46:32 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:46:32 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:46:32 - REQUEST method = [GET] , path = [/iot-cloud-platform/v3/api-docs/swagger-config] 
13:46:32 - REQUEST method = [GET] , path = [/iot-cloud-platform/v3/api-docs] 
13:46:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:46:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:46:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:46:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:46:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:46:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:46:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/v3/api-docs/swagger-config] 
13:46:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:46:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/v3/api-docs] 
